,Character,Actor,Role,Episode_Debut,Original_Air_Date
0,Homer Simpson,Dan Castellaneta,"Husband of Marge; father of Bart, Lisa, and Maggie.","""Good Night""",1989-
1,Marge Simpson,Julie Kavner,"Wife of Homer; mother of Bart, Lisa, and Maggie.","""Good Night",1989-
2,Bart Simpson,Nancy Cartwright,Oldest child and only son of Homer and Marge; brother of Lisa and Maggie.,"""Good Night""",1989-
3,Lisa Simpson,Yeardley Smith,Middle child and eldest daughter of Homer and Marge; sister of Bart and Maggie.,"""Good Night""",1989-
4,Maggie Simpson,Liz Georges Gábor Csupó Harry Shearer Yeardley Smith Nancy Cartwright Elizabeth Taylor James Earl Jones Jodie Foster,Youngest child and daughter of Homer and Marge; sister of Bart and Lisa.,"""Good Night""",1989-
5,Akira Kurosawa,"George Takei, Hank Azaria",Waiter at The Happy Sumo; karate teacher.,"""One Fish, Two Fish, Blowfish, Blue Fish""",1991-
6,Ms. Albright,Tress MacNeille,Sunday school teacher.,"""The Telltale Head""",1990-
7,Aristotle Amadopolis,"Jon Lovitz, Dan Castellaneta",Owner of the Shelbyville Nuclear Power Plant.,"""Homer Defined""",1991-
8,"Atkins, State Comptroller","Harry Shearer, Hank Azaria",State comptroller.,"""Lisa Gets an ""A""""",1998-
9,Mary Bailey,Maggie Roswell,Governor of Springfield's state.,"""Two Cars in Every Garage and Three Eyes on Every Fish""",1990-
10,"Birchibald ""Birch"" T. Barlow",Harry Shearer,Radio talk show host; Fox News anchor.,"""Sideshow Bob Roberts""",1994-
11,Jasper Beardly,Harry Shearer,Grampa's closest neighbor at the Retirement Castle.,"""Bart the General""",1990-
12,"Benjamin, Doug, and Gary","Harry Shearer, Hank Azaria, and Dan Castellaneta",Springfield University students.,"""Homer Goes to College""",1993-
13,Bill and Marty,Dan Castellaneta and Harry Shearer,KBBL Radio co-hosts.,"""Bart vs. Thanksgiving""",1990-
14,Blinky,Unvoiced,Three-eyed fish.,"""Two Cars in Every Garage and Three Eyes on Every Fish""",1990-
15,Blue Haired Lawyer[13],Dan Castellaneta,Attorney.,"""Bart Gets Hit by a Car""",1991-
16,Boobarella,Tress MacNeille,Host of late night TV monster movies.,"""I'm Spelling as Fast as I Can""",2003-
17,Wendell Borton,Russi Taylor,Student at Springfield Elementary School.,"""Homer's Odyssey""",1990-
18,Jacqueline Bouvier,Julie Kavner,"Mother of Selma and Patty Bouvier and Marge Simpson, Grandmother of Bart, Lisa, Maggie and Ling.","""Bart vs. Thanksgiving""",1990-
19,Patty Bouvier,Julie Kavner,Twin sister of Selma and older sister of Marge.,"""Simpsons Roasting on an Open Fire""",1989-
20,Selma Bouvier,Julie Kavner,Twin sister of Patty and older sister of Marge. Adoptive mother of Ling.,"""Simpsons Roasting on an Open Fire""",1989-
21,Kent Brockman,Harry Shearer,Channel 6 News anchor.,"""Krusty Gets Busted""",1990-
22,Bumblebee Man,Hank Azaria,Star of slapstick sketch comedy show on Canal Ocho.,"""Itchy & Scratchy: The Movie""",1992-
23,Charles Montgomery Burns,"Christopher Collins (early season 1), Harry Shearer",Owner of the Springfield Nuclear Power Plant.,"""Simpsons Roasting on an Open Fire""",1989-
24,Capital City Goofball,Tom Poston,Mascot of the Capital City Capitals baseball team.,"""Dancin' Homer""",1990-
25,Carl Carlson,Hank Azaria (1990-2020) Alex Désert (2020-present),Springfield Nuclear Power Plant employee.,"""Homer's Night Out""",1990-
26,Crazy Cat Lady,Tress MacNeille,"Mentally ill owner of many cats. Name revealed as Eleanor Abernathy in ""See Homer Run"".","""Girly Edition""",1998-
27,Gary Chalmers,Hank Azaria,Public schools superintendent.,"""Whacking Day""",1993-
28,Charlie,Dan Castellaneta,Springfield Nuclear Power Plant employee.,"""Life on the Fast Lane""",1990-
29,Chase (Pyro),Hank Azaria,Luann Van Houten's ex-boyfriend; American Gladiator.,"""A Milhouse Divided""",1996-
30,Scott Christian,Dan Castellaneta,News co-anchor.,"""Krusty Gets Busted""",1990-
31,Comic Book Guy,Hank Azaria,"Proprietor of The Android's Dungeon comic book store. Name revealed to be Jeff Albertson in ""Homer and Ned's Hail Mary Pass"".","""Three Men and a Comic Book""",1991-
32,Mr. Costington,Hank Azaria,President of Costington's Department Store.,"""Trash of the Titans""",1998-04-26
33,Database,Nancy Cartwright,"Student at Springfield Elementary School. First name is revealed to be Kyle in ""Yellow Subterfuge""","""Bart's Comet""",1995-02-05
34,Declan Desmond,Eric Idle,Documentary filmmaker.,"""'Scuse Me While I Miss the Sky""",2003-03-20
35,Disco Stu,Hank Azaria,Disco aficionado.,"""Two Bad Neighbors""",1996-01-14
36,Dolph,Tress MacNeille,Springfield Elementary School bully.,"""The Telltale Head""",1990-02-25
37,Lunchlady Doris,Doris Grau (1991-1995) Tress MacNeille (1996-present) ,Springfield Elementary School lunch lady.,"""Lisa's Pony""",1991-11-07
38,Duffman,Hank Azaria,Spokes-mascot for Duff Beer. His real name is Barry Duffman.,"""The City of New York vs. Homer Simpson"".",1997-09-21
39,Eddie and Lou,Harry Shearer and Hank Azaria,Springfield police officers.,"""There's No Disgrace Like Home""",1990-01-28
40,Fat Tony,Joe Mantegna,Mob boss.,"""Bart the Murderer""",1991-10-10
41,Maude Flanders,Maggie Roswell,Ned Flanders's wife (dies on Season 11).,"""Dead Putting Society""",1990-11-15
42,Ned Flanders,Harry Shearer ,"The Simpson family's next door neighbor; owner of The Leftorium (until it closes on Season 29), Bart Simpson's teacher at Springfield Elementary School (Season 29 onwards, substituting the void left by former deceased teacher Edna Krabappel, who was previously married to Flanders from Seasons 23 to 25).","""Simpsons Roasting on an Open Fire""",1989-12-17
43,Rod Flanders,Pamela Hayden,Ned and Maude Flanders's older son.,"""The Call of the Simpsons""",1990-02-18
44,Todd Flanders,Nancy Cartwright,Ned and Maude Flanders's younger son.,"""Simpsons Roasting on an Open Fire""",1989-12-17
45,Francesca,Maria Grazia Cucinotta,Sideshow Bob's Italian wife.,"""The Italian Bob""",2005-12-11
46,Frankie the Squealer,Dan Castellaneta,Informant for Fat Tony.,"""Insane Clown Poppy""",2000-11-12
47,Professor John Frink,Hank Azaria,"Scientist, inventor.","""Old Money""",1991-03-28
48,Baby Gerald,Unvoiced,One-eyebrowed baby. Arch-nemesis of Maggie Simpson.,"""Sweet Seymour Skinner's Baadasssss Song""",1994-04-28
49,Ginger Flanders,Tress MacNeille,"Ned Flanders's ""Vegas wife.""","""Viva Ned Flanders""",1999-01-10
50,Gino Terwilliger,Tress MacNeille,Sideshow Bob's toddler son.,"""The Italian Bob""",2005-12-11
51,Alice Glick,"Cloris Leachman, Tress MacNeille",Elderly.,"""Three Men and a Comic Book""",1991-05-09
52,Gloria Jailbird,Julia Louis-Dreyfus,Snake's pregnant girlfriend.,"""A Hunka Hunka Burns in Love""",2001-12-02
53,Barney Gumble,Dan Castellaneta,Homer's drunken old pal.,"""Simpsons Roasting on an Open Fire""",1989-12-17
54,Gil Gunderson,Dan Castellaneta,Unsuccessful salesman.,"""Realty Bites""",1997-12-07
55,The Happy Little Elves,"Dan Castellaneta, Hank Azaria, and Harry Shearer",Children's cartoon series characters.,"""Simpsons Roasting on an Open Fire""",1989-02-12
56,Judge Constance Harm,Jane Kaczmarek,Springfield judge.,"""The Parent Rap""",2001-11-11
57,Herman Hermann,Harry Shearer,Owner of Herman's Military Antiques shop.,"""Bart the General""",1990-02-04
58,Bernice Hibbert,Tress MacNeille,Dr. Hibbert's wife.,"""Bart's Dog Gets an ""F""""",1991-03-07
59,Dr. Julius Hibbert,Harry Shearer,Medical doctor.,"""Bart the Daredevil""",1990-12-06
60,Elizabeth Hoover,Maggie Roswell,Lisa Simpson's teacher at Springfield Elementary School.,"""Brush with Greatness""",1991-04-11
61,Lionel Hutz,Phil Hartman,Attorney.,"""Bart Gets Hit by a Car""",1991-01-10
62,Itchy & Scratchy,Dan Castellaneta and Harry Shearer,Cartoon cat and mouse.,"""The Bart Simpson Show""",1988-11-20
63,Jacques,Albert Brooks,Bowling instructor.,"""Life on the Fast Lane""",1990-03-18
64,Jimbo Jones,Pamela Hayden,Springfield Elementary School bully.,"""The Telltale Head""",1990-02-25
65,Rachel Jordan,Shawn Colvin,Lead singer of the Christian Rock band Kovenant.,"""Alone Again, Natura-Diddily""",2000-02-13
66,Kang and Kodos,Harry Shearer and Dan Castellaneta,Extraterrestrials.,"""Treehouse of Horror""",1990-10-25
67,Princess Kashmir,Maggie Roswell,Belly dancer.,"""Homer's Night Out""",1990-03-25
68,Edna Krabappel†,Marcia Wallace†,"Bart Simpson's teacher at Springfield Elementary School (until season 25), and Ned Flanders wife (Seasons 23-25, when the character is revealed to have died).","""Bart the Genius""",1990-01-14
69,Rabbi Hyman Krustofsky,Jackie Mason and Dan Castellaneta,Rabbi; father of Krusty the Clown.,"""Like Father, Like Clown""",1991-10-24
70,Krusty the Clown,Dan Castellaneta,"TV show clown host, original name Herschel Shmoikel Pinchas Yerucham Krustofski.","""The Telltale Head""",1990-02-25
71,Cookie Kwan,Tress MacNeille,Real estate agent.,"""Realty Bites""",1997-12-07
